0	"Chinese author Mo Yan, famous for working in the style of writing known as hallucinatory realism, wins the Nobel Prize in Literature"
1	"12 Oct 2012 – Paul Ryan spoke for 40 of the 90 minutes during Thursday night's vice presidential debate and managed to tell at least 24 myths during that time"
2	"tweets are about Nobel peace Prize and about EU and wining the same prize???AAre the have to win?"
3	"St. Louis Cardinals win their National League Divisional Series agains the Washington Nationals."
4	"LSU beats South Carolina 23-21 in a football game."
5	"Ray Lewis tore a tricep muscle out for possibly a year and maybe career."
6	"Reactions to the Denver Broncos big comeback win over the San Diego Chargers."
7	"Goal scoring during a Germany-Sweden soccer match where Germany went ahead 4-0, but Sweden battled back for a 4-4 tie."
8	"During US presidential debate, President Barack Obama tells candidate Mitt Romney he is "the last person to get tough on China.""
9	"The event is Justin Timberlake's marriage to Jessica Biel."
10	"Former United States Senator and 1972 Democratic presidential nominee George McGovern dies "
11	"Barack Obama And Mitt Romney Went Head-To-Head In The Final Presidential Debate romney said not government that makes businesses successful!"
12	"The event is the last game of the NLCS championship, where the Detroit Tigers lost to the San Francisco Giants."
13	"JPSI Motor Sport, Jaypee Sports Motor Sport, Indian Formula 1 Motor Sport"
14	"In Major League Baseball, the San Francisco Giants defeat the Detroit Tigers in game four "
15	"The tweets discuss the Pride of Britain awards."
16	"In the aftermath of Hurricane Sandy, the death toll rises to over 60 in the Mid-Atlantic states of the United States"
17	"2 Nov 2012 – NEW YORK -- The National Hockey League today announced the cancellation of the 2013 Bridgestone NHL Winter Classic"
18	"It is about TV show by Keshya cole and her Husband."
19	" is about an Award function. The nominees can be KENDRIK LAMAR"
20	" earthquake strikes Hollis Center, Maine, roughly 20 miles west of Portland, Maine"
21	"Jason Werth hitting a walkoff home run for the Nationals during the playoff game against the Cardinals."
22	"The Redbull Stratos jump was a space diving event.  Felix Baumgartner flew many miles into the air above the southwestern U.S. and then jumped, breaking several world records."
23	"New York Yankees losing a playoff baseball game in which Derek Jeter was injured."
24	"Beyonce is scheduled to perform at the Super Bowl XLVII Halftime Show."
25	"The event is a college football game between LSU and Texas A&M. Many tweets refer to the loss by A&M and the players who contributed, specifically the kicker and the quarterback (Manziel.)"
26	" UK's Lancashire Police apologises after an officer used a Taser on a blind man whose white cane was mistaken for a samurai sword"
27	"Nike ended the promotonal agreemends they had with Lance Armstrong when he was accused of using performance enhancing drugs. "
28	"A man arrest by the FBI for alleged terrorist plot involving the US Federal Reserve in New York"
29	"Ohio State winning the game it followers were so pleased "
30	"Patriots Beat Jets 29-26 In Overtime: New England Recovers Mark Sanchez Fumble To Win Game"
31	"Soccer game between Tottenham Spurs and Chelsea.  Not sure which team is playing at home."
32	"Big Tex was a 52-foot (16 m) tall statue and marketing icon of the annual State Fair of Texas held at Fair Park in Dallas, Texas On October 19, 2012, the last weekend of the 2012 State Fair of Texas, Big Tex was destroyed by an electrical fire that started in the jaw."
33	"a ref got hit during a sporting event by fans."
34	"Cowboys beating the Redskins in football."
35	"Yash Chopra, one of India's most influential film-makers, dies from dengue fever in Mumbai. "
36	"the tweets are about the world series games. World Series is the annual championship series of North American-based Major League Baseball (MLB), played since 1903 between the American League (AL) and National League (NL) champions."
37	"Soccer player Georgios Samaras scores a goal for Barcelona, tying the match at 1-1."
38	"The iPad Mini (stylized and marketed as iPad mini) is a mini tablet computer designed, developed, and marketed by Apple Inc. It was announced on October 23, 2012"
39	"Thte tweets discuss the release of new Apple products."
40	"A soccer game between Manchester United and Liverpool. Someone scored but they were offsides."
41	"Emanuel Steward, International Boxing Hall of Fame inducted trainer,dies at the age of 68. "
42	"The East Coast of the United States prepares for Hurricane Sandy, which has killed at least 67 people and caused widespread damage in the Caribbean. "
43	"Hurricane Sandy makes landfall near Atlantic City, New Jersey, with widespread flooding and at least 29 deaths in the Northeastern United States. "
44	"Former Italian Prime Minister Silvio Berlusconi has been sentenced to four years in prison for tax fraud."
45	"Notre Dame and Alabama, two schools that are rumored to care a little bit about their football teams, will meet Jan. 7 in a BCS national championship"
46	"purchase of  Lucasfilm Ltd. from George Lucas by Walt Disney Company "
47	"Marcus Lattimore was hurt playing football"
48	"A 7.7 magnitude earthquake strikes off the coast of British Columbia near Haida Gwaii, triggering a tsunami warning in the North Pacific. "
49	"They are discussing the Cowboys vs Giants game.  Apparently the Cowboys almost came back to win, but lost in the closing seconds after a reviewed touchdown didn't go their way."
50	"The tweets are about The Los Angeles Lakers are an American professional basketball team based in Los Angeles and The Dallas Mavericks are a professional basketball team based in Dallas"
51	"Suicide Silence frontman Mitch Lucker commits suicide."
52	"People react to incoming election results, threatening to leave the country if their favored candidate does not win."
53	"In the fourth round of the 2012–13 Football League Cup, Arsenal and Reading participate in a twelve-goal thriller (7-5) at the Mad Stad - with Arsenal 4-1 down by the end of the first half. "
54	"Soccer match between Chelsea and Manchester United in which Chelsea wins"
55	"Tweets discuss Tony Parker from the San Antonio Spurs shooting a buzzer beater shot over Russell Westbrook from the Oklahoma City Thunder."
56	"The cancelation of the New York City Marathon by the mayor due to Hurricane Sandy"
57	"a college football game involving alabama and probably auburn"
58	"These tweets are talking about tne basketball team the Knicks."
59	"They discuss the fact that Notre Dame is going to play in the event of the national championship game."
60	"The United States Department of Labor says hiring picked up in October, with 171,000 jobs being added"
61	"Arsenal vs Manchester United football (soccer) game, whether or not Robin van Persie would score"
62	"Cowboys are a professional American football franchise that plays in the Eastern Division of the National Football Conference"
63	"Euro sport. Liverpool vs Newcastle United match and the result."
64	"Chicago Bears absolutely destroying Tennessee Titans in an NFL game"
65	"About Suarez who is a good player and has great control."
66	"People talking about the Ajax and Manchester City soccer game"
67	"Voters in the states of Colorado and Washington approve the legalization of recreational use of marijuana in voter ballot initiatives, while the state of Massachusetts approves a referendum legalizing the use of medical marijuana. "
68	"Scotland Yard launches a "formal criminal investigation" into Savile after 200 potential sexual abuse victims come forward."
69	"The death toll in the U.S. attributed to Hurricane Sandy rises to at least 90"
70	"Authorities in Tripoli announce the capture of Muammar Gaddafi's former spokesman "
71	"President of Mauritania Mohamed Ould Abdel Aziz, shot by troops yesterday, is flown to France. "
72	"Hundreds of protesters in Libya storm the grounds of the country's parliament building in Bani Walid. "
73	"The UK doubles its number of RAF armed "drones" operating in Afghanistan"
74	"A Syrian Air Force commander is assassinated by opposition forces in Damascus."
75	"Penn State scandal involving imprisoned former football coach Jerry Sandusky"
76	"The family of disgraced disc jockey and television presenter Jimmy Savile makes its first public statement "
77	"Yankees win a playoff with a walkoff over the Orioles."
78	"This is about a yankees/orioles game that went extra innings."
79	"discussion of that night's Homecoming Game, Saints vs. ? (do not see who other team is)"
80	"Match between Manchester united and Sanmarino"
81	"HP and  Lenovo battle for top spot in PC market of  Computerworld"
82	"A Cleveland bus driver punched a female passenger in the face."
83	"Buster Posey grand slam leads SF Giants to historic Division Series"
84	"Discussing the show Honey Boo Boo about the beauty pageant little girl."
85	"WAR AMERIA VS IRAN"
86	"DALLAS (AP) — A Dallas woman who beat her 2-year-old daughter and glued the toddler's hands to a wall was sentenced Friday to 99 years in prison by a judge who described his decision as a necessary punishment for a brutal, shocking attack."
87	"UFC middleweight contender Vitor Belfort doesn't see the point in having divisional top dog Anderson Silva fight welterweight champion Georges St-Pierre, but he believes Silva vs. Jon Jones is at least logical"
88	"Microsoft Office 2013 reaches release to manufacturing status."
89	"Space Shuttle Endeavour makes a final trip to a Los Angeles museum."
